title,company,salary,description,link
Data Scientist (Analytics),Grab,None,"Job Description: Life at Grab At Grab, every Grabber is guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles - the 4Hs: Heart, Hunger, Honour and Humility. These principles guide and help us make decisions as we work to create economic empowerment for the people of Southeast Asia.   Get to Know the Team The Deliveries Analytics team is responsible for growing and optimizing the GrabFood, GrabMart and GrabExpress businesses through intelligent use of data. We focus on providing data-driven insights to: Deliver an impeccable and seamless experience for our consumers. Develop allocation-related features to ensure on-time in-full delivery for our consumers, while ensuring optimal utilization of our driver-partners and helping them earn a living. Develop products that enable our merchant-partners to maximize their sales on our platform. Partner with product and business teams to launch new and innovative initiatives for GrabFood, GrabMart and/or GrabExpress to cater to the needs of our consumers. Get to Know the Role We are looking for a Data Scientist (Analytics) to provide critical insights and drive our GrabMart Dark Stores business line and product goals forward in Indonesia . This requires working closely with various teams within Grab (Product, Engineering, Business, Operations, Marketing and others), pushing boundaries in how we position quantitative thinking and data in how we make decisions. The Day-to-Day Activities Develop internal cross-functional, operational, market knowledge about GrabMart Dark Stores business and products in Indonesia. Combine these knowledge with internal data to develop rich insights to drive business growth. Consolidate data from multiple sources to create integrated and scalable views that can be used to drive decision making. Provide catered analysis for specific products and operations, define critical business metrics and track them rigorously, and provide regular recommendations to achieve continuous improvements Define and align with stakeholders on key metrics, design and propose experimentation strategies. Launch A/B tests, analyze experiment results and provide recommendations. Develop and uphold best practices with respect to change management, documentation and data protocols.   The Must-Haves 2+ years experience working in data-related and/or quantitative fields (preferably in retail, supply chain, merchandising, eCommerce) Strong data visualization and storytelling skills. Experience in creating dashboards using Tableau and other visualisation tools. Knowledge of Azure toolstack (Databricks, PowerBI, Azure Data Explorer) will be a plus. Fluent with SQL, Python, R or other scripting/programming languages to problem-solve. Experienced with working with very large datasets. Ability to deliver on tight timelines and move quickly with cross-functional teams to partner or lead decision making while maintaining high attention to detail. Self-starter, principled and driven to do the right thing for an organization. Able to operate very independently with a high degree of ambiguity; a person who enjoys and learns from experimentation. Quantitative discipline with strong business sense and ability to articulate complex analyses results to a wide range of audiences, and translate these to actionable business insights. Primarily driven by quantitative outcome for all decision making. Strong statistical knowledge with hands-on experience running and analyzing controlled experiments will be a plus. Language proficiency in English and Bahasa will be highly preferred. Our Commitment We recognize that with these individual attributes come different workplace challenges, and we will work with Grabbers to address them in our journey towards creating inclusion at Grab for all Grabbers. About Grab Grab is the leading superapp platform in Southeast Asia, providing everyday services that matter to consumers. Today, the Grab app has been downloaded onto millions of mobile devices, giving users access to over 9 million drivers, merchants, and agents. Grab offers a wide range of on-demand services in the region, including mobility, food, package and grocery delivery services, mobile payments, and financial services across 428 cities in eight countries. Join us today to drive Southeast Asia forward, together.",https://id.indeed.com/rc/clk?jk=acd6479660d3fc64&fccid=b79fa3ee18655a5a&vjs=3
Data Scientist,Sayurbox,None,"Job Description Be a part of Sayurbox data team to target business requirements. Identify and address user data requirements using data driven solutions. Build and maintain prediction models and engines from development to production. Minimum Requirements: Bachelor degree in Computer Science/Mathematics/Engineering. Familiarity with Python, R, and SQL. Knowledge in machine learning algorithms related to regression, forecasting, clustering, decision trees, classification, optimization, neural network, etc. Have an “out of the box” mindset, understand that problems can sometimes be solved with non-complex solutions. Cooperative person and can thrive in team driven. Good interpersonal and communication skills to address technical problems early in the process. Inspired and driven, volunteer to enhance things without being asked first. Love being in a startup environment and working at a fast pace. Open minded, appreciate differentiation of background, social, culture and personalities. Nice to have: Personal ML related projects in Github. Kaggle submissions.   z0P1rtQMOF",https://id.indeed.com/rc/clk?jk=40482050a5e4d857&fccid=983cab593c4a40d2&vjs=3
Senior Data Scientist - GoPay,GO-JEK,None,"Location Jakarta Work Type Permanent Application Posted April 25, 2022 About The Role   We are looking for a data scientist to join our Data Science team at GoPay - you will create models which help grow the customer base and transactions in GoPay. You will work closely with the business, product and engineering stakeholders to identify and solve some of the most challenging business problems in the payments space. You will have the opportunity to work in a fast-paced environment in a highly cross-functional team and leverage our robust data infrastructure What You Will Do Work as part of a cross-functional team of engineers, product managers and business analysts to build data science solutions that build customer engagement and help grow GoPay’s customer base and transactions Rapidly prototype data science solutions and be involved in product and feature discussions Analyze large volume data and generate insights which will be actionable Own end-to-end solutioning, from formulating the technical problem to deployment (along with engineers) of the solution Participate in internal and external conferences and workshops What You Will Need At least 6 years of relevant experience Strong quantitative and problem-solving skills Solid understanding of Statistics/ML fundamentals and demonstrated experience in Python, R Communication skills to engage with business stakeholders to understand their needs and effectively communicate the results of the analytical solutions Ability to write clear and concise technical documentation Ph.D. or Masters in a quantitative discipline About The Team GoPay Data Science team builds critical ML components/models which go into the engineering systems and make GoPay a safe, trusted, and fun way to do payments. Our team members come from varied backgrounds and bring with them a wide set of skills (mathematics, statistics, machine learning, deep learning, etc) which we use some of the toughest business problems in GoPay. We are enthusiastic about both data science techniques and methods, as well as the business impact of our models, and have numerous internal forums where sharing, discussions, and presentations by the team members happen. About Gojek Gojek is a Super App. It is one app for ordering food, commuting, digital payments, shopping, hyper-local delivery, and a dozen other products. We are Indonesia’s first decacorn. We are also the only Southeast Asian startup to be part of Fortune's list of 'Companies That Changed The World.' Our Mission: To create and scale positive socio-economic impact for our customers, driver-partners, business, and MSMEs. As of 2018, Gojek processed more than $9 billion in annualized gross transaction value across all markets where it operates - in Singapore, Vietnam, and Indonesia. We have the largest food delivery product in Asia (outside of China) and is the largest payments wallet in Southeast Asia. Gojek contributed IDR 249 T to the Indonesian economy (equivalent to 2% of Indonesia's GDP in 2020). As of Q1 2021, the Gojek App witnessed over 190mn downloads by customers. The platform has over 2mn Driver Partners & ~900000 Merchant Partners across SEA. About GoTo Financial GoTo Financial brings secure, reliable, and user-friendly financial solutions to over 55 million monthly active users, more than 14 million merchants, and over 2.5 million driver-partners eager to benefit from the digital economy in the GoTo ecosystem. GoTo Financial’s consumer services include GoPay, GoPayLater, and other financial services. We also serve businesses of all sizes through leading payment gateway Midtrans, Indonesia’s largest cloud POS network Moka and GoKasir. We also have the all-in-one merchant solution GoBiz, GoBiz Plus, GoStore, and Selly - available in Indonesia and Southeast Asia. Gojek and GoTo Financial are committed to building a diverse and inclusive workplace and are equal opportunity employers. We do not discriminate on the basis of race, religion, national origin, gender, gender identity, sexual orientation, disability, age, education status, or any other legally protected status.",https://id.indeed.com/rc/clk?jk=60463a42bb19a66a&fccid=35c79097c1f63f3d&vjs=3
Data Scientist,Allianz Indonesia,None,"Bachelor Degree with field of study mathematic, information system, actuary, computes science or related field Experience with Excel, Powerpoint, Tableau, SQL, and programming languages (Hadoop, MapReduce, etc) Proficiency with data mining, mathematics, and statistical analysis",https://id.indeed.com/rc/clk?jk=835f2c980867fec4&fccid=bf422d4af99309b2&vjs=3
Senior Data Scientist,Sayurbox,None,"Job Description: Build Sayurbox data team according to targeted business growth and requirements. Identify and address user data requirements using data driven solutions. Build and maintain prediction models and engines from development to production. Help setting project goals and deliverables. Mentor more junior peers. Minimum Requirements: Have experience in the same field for 2-3 years. Bachelor degree in Computer Science/Mathematics/Software Engineering. Familiarity with Python, R, and SQL. Proven experience in building machine learning models related to regression, forecasting, clustering, decision trees, classification, optimization, neural network, etc. Have experience in the evaluation and deployment process of machine learning models. Have an “out of the box” mindset, understand that problems can sometimes be solved with non-complex solutions. Cooperative person and can thrive in team driven. Good problem solving and analytical skills. Good interpersonal and communication skills to address technical problems early in the process. Understand how a solution can be impactful for business needs. Inspired and driven, volunteer to enhance things without being asked first. Love being in a startup environment and working at a fast pace. Able to manage yourself and time during development, know how to set priority. You are ready to step up when the team really needs it and do whatever it takes to complete deliverables. Open minded, appreciate differentiation of background, social, culture and personalities. Nice to have: Masters in Computer Science/Mathematics/Software Engineering. Proven experience in developing models for recommendation systems, fraud detection, demand forecasting, or route optimization.   Z7lzWQp2f2",https://id.indeed.com/rc/clk?jk=da6afcc2ee471dfc&fccid=983cab593c4a40d2&vjs=3
Senior Data Scientist,Global Tiket Network,None,"Job Overview The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes. They must also be able to provision, guide and mentor less experienced data science team members.   Your main duties in flying with us: Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions. Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies. Develop custom data models and algorithms to apply to data sets. Be creative and innovative in problem solving using appropriate machine learning techniques. Be able to comprehend the state of art techniques via academic paper reading. Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. Develop company A/B testing framework and test model quality. Coordinate with different functional teams to implement models and monitor outcomes. Develop processes and tools to monitor and analyze model performance and impact to business.   Mandatory belongings you must prepare: Min. 5 years of experience in data analysis and modelling A Bachelor in Computer Science, Statistics, Mathematics, or another quantitative field. Strong problem solving skills with an emphasis on product development. Proficient in programming skills (R, Python, SQL, etc.) for data acquisition, processing and analysis from large data sets. Knowledge of data science concepts (regression, classification, clustering, properties of distributions, statistical tests and proper usage, etc.) and experience with applications. Knowledge of a variety of machine learning techniques (Random forest, SVM, artificial neural networks, etc.) and their real-world advantages/drawbacks. Excellent written and verbal communication skills for coordinating across teams. A drive to learn and master new technologies and techniques. In the event that you haven’t received any updates after 3 weeks, your data will be kept and we may contact you for another career destination.   Skills Requirements Python Sql R Data Science Concepts Regression Classification Clustering Properties Of Distributions Statistical Tests",https://id.indeed.com/rc/clk?jk=daa2dde534c7ee20&fccid=86d817bdde43fd0e&vjs=3
Data Scientist - Consumer Platform,GO-JEK,None,"Location Jakarta Work Type Permanent Application Posted April 8, 2022 About the Role   As a data scientist, you will work closely with the product managers, engineers, and business users of the Gojek Consumer Platform, the brain that powers Gojek’s platforms across services. You, alongside a talented troop of fellow data scientists and analysts, will get first-hand experience in building scalable data science solutions to challenging problems of NLP, recommendation systems, and many other more!   What You Will Do Design and develop various machine learning solutions to elevate the general user experience of Gojek’s consumers Take ownership of the end-to-end data science solutions - from framing the business problem as data science problem to building and deploying the models into production Along with product managers and business users, own the business outcomes or metrics that the data science solution drives Become the thought partner for the product team to add new features or operations flows that can boost the data science model performance in general (e.g. design the feedback-loop or human-in-the-loop process to continuously improve the model performance over time) Support peripheral data tasks such as experimentation and table management for your stream as needed What You Will Need At least 1 year of experience as a Data Scientist Have at least a Bachelor's degree in a quantitative field Have a solid foundation of machine learning and statistics Hands-on knowledge in common data science stacks (Python+DS libraries, SQL, etc.) Experience working in cloud-based solutions like GCP, AWS, etc.Demonstrable experience with deep learning frameworks like PyTorch or TensorFlow Proven experience to formulate data science solutions to business problems Proven ability to communicate with businesses and understand business needs About the Team Our Consumer platform data squad currently consists of more than 10 data scientists, analysts and decision scientists based in Jakarta, Bengaluru, and Singapore. As a data team, we take care of multiple platforms such as the homepage, identity, chat, communication and our care platforms. We oversee all things data and work to provide data solutions. It’s our job to ensure that multiple products in Gojek run seamlessly. As a team, we’re concerned not only with the growth of the company but each other’s personal and professional growth, too. Along with data projects, our team bonds over our shared love of mobile games. With WFH becoming more normalized, you best believe we’ve been sharing our favourite ways to prioritize a healthy work-life balance at home. About Gojek Gojek is a Super App. It is one app for ordering food, commuting, digital payments, shopping, hyper-local delivery, and a dozen other products. We are Indonesia’s first decacorn. We are also the only Southeast Asian startup to be part of Fortune's list of 'Companies That Changed The World.' Our Mission: To create and scale positive socio-economic impact for our customers, driver-partners, business, and MSMEs. As of 2018, Gojek processed more than $9 billion in annualized gross transaction value across all markets where it operates - in Singapore, Vietnam, and Indonesia. We have the largest food delivery product in Asia (outside of China) and is the largest payments wallet in Southeast Asia. Gojek contributed IDR 249 T to the Indonesian economy (equivalent to 2% of Indonesia's GDP in 2020). As of Q1 2021, the Gojek App witnessed over 190mn downloads by customers. The platform has over 2mn Driver Partners & ~900000 Merchant Partners across SEA. About GoTo Financial GoTo Financial brings secure, reliable, and user-friendly financial solutions to over 55 million monthly active users, more than 14 million merchants, and over 2.5 million driver-partners eager to benefit from the digital economy in the GoTo ecosystem. GoTo Financial’s consumer services include GoPay, GoPayLater, and other financial services. We also serve businesses of all sizes through leading payment gateway Midtrans, Indonesia’s largest cloud POS network Moka and GoKasir. We also have the all-in-one merchant solution GoBiz, GoBiz Plus, GoStore, and Selly - available in Indonesia and Southeast Asia. Gojek and GoTo Financial are committed to building a diverse and inclusive workplace and are equal opportunity employers. We do not discriminate on the basis of race, religion, national origin, gender, gender identity, sexual orientation, disability, age, education status, or any other legally protected status.",https://id.indeed.com/rc/clk?jk=cd498abf0936c0c5&fccid=35c79097c1f63f3d&vjs=3
Data Scientist (Analytics),Kudo,None,"Life at Grab At Grab, every Grabber is guided by The Grab Way, which spells out our mission, how we believe we can achieve it, and our operating principles - the 4Hs: Heart, Hunger, Honour and Humility. These principles guide and help us make decisions as we work to create economic empowerment for the people of Southeast Asia.  Get to Know the Team The Deliveries Analytics team is responsible for growing and optimizing the GrabFood, GrabMart and GrabExpress businesses through intelligent use of data. We focus on providing data-driven insights to: Deliver an impeccable and seamless experience for our consumers. Develop allocation-related features to ensure on-time in-full delivery for our consumers, while ensuring optimal utilization of our driver-partners and helping them earn a living. Develop products that enable our merchant-partners to maximize their sales on our platform. Partner with product and business teams to launch new and innovative initiatives for GrabFood, GrabMart and/or GrabExpress to cater to the needs of our consumers. Get to Know the Role We are looking for a Data Scientist (Analytics) to provide critical insights and drive our GrabMart Dark Stores business line and product goals forward in Indonesia. This requires working closely with various teams within Grab (Product, Engineering, Business, Operations, Marketing and others), pushing boundaries in how we position quantitative thinking and data in how we make decisions. The Day-to-Day Activities Develop internal cross-functional, operational, market knowledge about GrabMart Dark Stores business and products in Indonesia. Combine these knowledge with internal data to develop rich insights to drive business growth. Consolidate data from multiple sources to create integrated and scalable views that can be used to drive decision making. Provide catered analysis for specific products and operations, define critical business metrics and track them rigorously, and provide regular recommendations to achieve continuous improvements Define and align with stakeholders on key metrics, design and propose experimentation strategies. Launch A/B tests, analyze experiment results and provide recommendations. Develop and uphold best practices with respect to change management, documentation and data protocols.  The Must-Haves 2+ years experience working in data-related and/or quantitative fields (preferably in retail, supply chain, merchandising, eCommerce) Strong data visualization and storytelling skills. Experience in creating dashboards using Tableau and other visualisation tools. Knowledge of Azure toolstack (Databricks, PowerBI, Azure Data Explorer) will be a plus. Fluent with SQL, Python, R or other scripting/programming languages to problem-solve. Experienced with working with very large datasets. Ability to deliver on tight timelines and move quickly with cross-functional teams to partner or lead decision making while maintaining high attention to detail. Self-starter, principled and driven to do the right thing for an organization. Able to operate very independently with a high degree of ambiguity; a person who enjoys and learns from experimentation. Quantitative discipline with strong business sense and ability to articulate complex analyses results to a wide range of audiences, and translate these to actionable business insights. Primarily driven by quantitative outcome for all decision making. Strong statistical knowledge with hands-on experience running and analyzing controlled experiments will be a plus. Language proficiency in English and Bahasa will be highly preferred. Our Commitment We recognize that with these individual attributes come different workplace challenges, and we will work with Grabbers to address them in our journey towards creating inclusion at Grab for all Grabbers. About Grab Grab is the leading superapp platform in Southeast Asia, providing everyday services that matter to consumers. Today, the Grab app has been downloaded onto millions of mobile devices, giving users access to over 9 million drivers, merchants, and agents. Grab offers a wide range of on-demand services in the region, including mobility, food, package and grocery delivery services, mobile payments, and financial services across 428 cities in eight countries. Join us today to drive Southeast Asia forward, together.",https://id.indeed.com/rc/clk?jk=f795255cc2fbd38c&fccid=dcd77e8a328a074f&vjs=3
Data Scientist,PT. Bank Mega Tbk.,None,"Responsible to determine, apply and do algorithms in banking business  Data analysis (operational, transaction and another data)  Identifying potential available data for developing business Minimum Bachelor's Degree in Mathematics, Computer Science, Statistics, Engineering and related major  Minimum 1 years experience  Strong in programming languages (Java, Python & etc)  Has basic knowledge of data processing with statistic tools  Has knowledge in data technologies & data quality  Has knowledge in credit risk  Excellent problem-solving skills;",https://id.indeed.com/rc/clk?jk=d5ad77ad743d020e&fccid=a24639a6b2ed04a1&vjs=3
Data Scientist,PT Prodia Widyahusada Tbk. (Prodia),None,"Perform data collection both structured and unstructured data to support data models, data analysis and develop data collection process.  Create, update, recommend predictive data models, algorithm machine learning, and provide design analytics recommendations Bachelor's Degree in Informatics Engineering/Information System/Computer Science/Statistics. Min GPA 3.00 (Scale 4.00)  Have 1 year working experience as Data Scientist  Mastering data analysis using R Language & Pyhton",https://id.indeed.com/rc/clk?jk=e22745b685b2a386&fccid=d4461fa6a9a8fbac&vjs=3
